Symbol,Market,TradingDate,Time,Open,High,Low,Close,Volume,Value
MWG,HOSE,25/08/2021,,52648,53629,52353,52811,600100,97444089999.9998
MWG,HOSE,26/08/2021,,53596,53759,52844,52975,616200,100395200000
MWG,HOSE,27/08/2021,,53040,53923,53040,53792,1336200,219034100000.0010
MWG,HOSE,30/08/2021,,54665,55255,54419,54419,1266900,141078370000
MWG,HOSE,31/08/2021,,54615,54615,54123,54615,629100,69536369999.9999
MWG,HOSE,01/09/2021,,54271,54615,53582,54222,670400,73719029999.9999
MWG,HOSE,06/09/2021,,54615,54665,54369,54615,1121700,124364970000
MWG,HOSE,07/09/2021,,54812,54861,54123,54271,894000,98820880000
MWG,HOSE,08/09/2021,,54271,54812,54123,54812,684800,75925330000.0002
MWG,HOSE,09/09/2021,,55009,58502,54812,58502,2544800,295785020000
MWG,HOSE,10/09/2021,,58552,58699,57617,58502,922100,109077070000
MWG,HOSE,13/09/2021,,58502,61504,58453,61504,2267600,278833650000
MWG,HOSE,14/09/2021,,61012,61405,60077,61258,1073100,132773050000
MWG,HOSE,15/09/2021,,60766,61504,60421,61307,728800,90322800000
MWG,HOSE,16/09/2021,,61258,61258,60421,60815,778300,96058289999.9999
MWG,HOSE,17/09/2021,,60815,61012,60126,60520,919200,113222240000
MWG,HOSE,20/09/2021,,61455,62488,59733,60520,1370300,170653270000
MWG,HOSE,21/09/2021,,59585,61750,59585,60913,1328400,164380770000
MWG,HOSE,22/09/2021,,61012,62193,60963,61848,1293000,162473550000
MWG,HOSE,23/09/2021,,62242,65637,62242,64948,2591600,337271330000.0010
MWG,HOSE,24/09/2021,,65046,65932,64013,64210,1318800,173560020000
MWG,HOSE,27/09/2021,,63472,63472,61996,61996,3738200,475726409999.9980
MWG,HOSE,28/09/2021,,61307,62488,60963,62340,1344700,168529840000
MWG,HOSE,29/09/2021,,62390,63226,62390,62882,1208800,154344269999.9990
MWG,HOSE,30/09/2021,,62882,63472,62340,62882,1044400,133215920000
MWG,HOSE,01/10/2021,,62488,62882,61996,62094,1086600,137694070000
MWG,HOSE,04/10/2021,,61504,62094,60667,62094,2190000,273672579999.9980
MWG,HOSE,05/10/2021,,61996,62390,61553,62390,939300,118627990000
MWG,HOSE,06/10/2021,,62340,63964,62193,63128,1692400,216863639999.9980
MWG,HOSE,07/10/2021,,62636,63128,62636,62980,966000,123569360000
MWG,HOSE,08/10/2021,,62734,63718,62636,63374,1503700,193227100000
MWG,HOSE,11/10/2021,,63423,63816,62734,63718,1749700,225205320000
MWG,HOSE,12/10/2021,,63718,65342,63718,64997,2282000,300593920000.0020
MWG,HOSE,13/10/2021,,65096,66031,64997,65883,1892600,253046289999.9990
MWG,HOSE,14/10/2021,,65932,66326,64948,65686,1925700,256243220000
MWG,HOSE,15/10/2021,,65686,65785,64948,65145,827400,109679140000
MWG,HOSE,18/10/2021,,65046,65391,64308,64308,1467200,193020120000
MWG,HOSE,19/10/2021,,63915,64456,63521,63816,1151000,149576660000
MWG,HOSE,20/10/2021,,63915,64456,62980,63570,1333900,173162020000
MWG,HOSE,21/10/2021,,63570,63964,62488,62488,1471700,188805760000
MWG,HOSE,22/10/2021,,63128,63177,62537,62783,925700,118226260000
MWG,HOSE,25/10/2021,,62980,63866,62980,63177,926200,119490590000
MWG,HOSE,26/10/2021,,62980,62980,62439,62980,992900,126456000000
MWG,HOSE,27/10/2021,,62980,65391,62980,64948,2063400,269857000000
MWG,HOSE,28/10/2021,,64604,65194,63226,64948,1189400,156443350000
MWG,HOSE,29/10/2021,,64702,64899,64407,64653,1344400,176630370000
MWG,HOSE,01/11/2021,,64702,64850,63472,63964,1140200,148141739999.9990
MWG,HOSE,02/11/2021,,63226,63915,63226,63423,866800,111969269999.9990
MWG,HOSE,03/11/2021,,63423,63964,62734,63374,1405000,180285030000
MWG,HOSE,04/11/2021,,63226,64259,62980,63915,950100,123306250000
MWG,HOSE,05/11/2021,,65440,65440,64456,64948,1635800,216179390000.0010
MWG,HOSE,08/11/2021,,64948,65440,64751,64751,1126300,149132000000
MWG,HOSE,09/11/2021,,64850,64948,63964,63964,1048900,137004720000
MWG,HOSE,10/11/2021,,63964,64702,63718,64702,765400,99687710000.0004
MWG,HOSE,11/11/2021,,64702,66916,64210,66424,4441400,595907580000.0050
MWG,HOSE,12/11/2021,,66916,66916,65883,66916,1184800,160241910000
MWG,HOSE,15/11/2021,,67064,68835,67064,68589,2631500,363841890000.0010
MWG,HOSE,16/11/2021,,67900,68392,66916,67851,1490600,205299270000.0010
MWG,HOSE,17/11/2021,,67753,67900,67015,67851,862200,118461510000
MWG,HOSE,18/11/2021,,68048,69622,67310,68392,2132400,296596060000
MWG,HOSE,19/11/2021,,68884,69376,66916,68392,1378000,191326920000
MWG,HOSE,22/11/2021,,68884,69081,67900,68195,1115100,154961760000
MWG,HOSE,23/11/2021,,68195,70852,67949,70360,1926200,273145840000.0010
MWG,HOSE,24/11/2021,,70360,70852,69524,70852,1487500,212006310000
MWG,HOSE,25/11/2021,,70902,71344,70114,71344,845700,121805880000
MWG,HOSE,26/11/2021,,71246,71590,69622,69622,1262400,181018120000
MWG,HOSE,29/11/2021,,68343,69229,67605,67654,2370000,328649629999.9990
MWG,HOSE,30/11/2021,,68146,68835,67359,68343,1089100,150453599999.9990
MWG,HOSE,01/12/2021,,67162,68884,66965,68343,1496400,205393689999.9990
MWG,HOSE,02/12/2021,,68294,68294,67310,67408,615900,84464950000
MWG,HOSE,03/12/2021,,67064,67408,65686,65686,1052100,142750730000.0010
MWG,HOSE,06/12/2021,,65686,65686,62439,64653,1673200,219702909999.9990
MWG,HOSE,07/12/2021,,64653,65686,64653,65686,663600,87882199999.9999
MWG,HOSE,08/12/2021,,65735,66424,65440,65883,688700,92094530000.0002
MWG,HOSE,09/12/2021,,65883,66424,65686,65932,692300,92830689999.9999
MWG,HOSE,10/12/2021,,65489,66375,65440,65981,707100,94754029999.9999
MWG,HOSE,13/12/2021,,66129,66375,65932,66375,645900,86856690000
MWG,HOSE,14/12/2021,,66277,66916,65686,66621,664800,89810650000.0002
MWG,HOSE,15/12/2021,,66621,66916,65932,66867,601100,81189149999.9997
MWG,HOSE,16/12/2021,,66916,66916,65735,65735,809500,108628960000
MWG,HOSE,17/12/2021,,65735,66424,65489,66178,735100,98391619999.9998
MWG,HOSE,20/12/2021,,65686,66227,65194,65440,792900,105497100000
MWG,HOSE,21/12/2021,,65440,65440,64997,65440,473600,62840099999.9999
MWG,HOSE,22/12/2021,,65735,67408,65637,66326,1300200,174970980000
MWG,HOSE,23/12/2021,,66326,66818,64850,65735,933200,124613620000
MWG,HOSE,24/12/2021,,65735,66227,65194,66227,560900,74940660000
MWG,HOSE,27/12/2021,,66277,66621,65440,66375,723100,97111400000.0001
MWG,HOSE,28/12/2021,,66670,66818,65489,66818,745000,100446710000
MWG,HOSE,29/12/2021,,66227,66916,65981,66129,637000,85824129999.9998
MWG,HOSE,30/12/2021,,66178,66621,65932,66080,832700,111918110000
MWG,HOSE,31/12/2021,,66080,66867,65637,66867,1128900,152119240000
MWG,HOSE,04/01/2022,,66867,68491,66375,67802,1327900,181292839999.9990
MWG,HOSE,05/01/2022,,67802,68540,67457,67457,1178700,162732640000
MWG,HOSE,06/01/2022,,67457,68294,67162,67654,771100,106137990000
MWG,HOSE,07/01/2022,,67654,67654,66670,66670,921200,125541310000
MWG,HOSE,10/01/2022,,66670,66670,65440,65440,927000,124320000000
MWG,HOSE,11/01/2022,,65440,66178,64800,64850,773400,102630460000
MWG,HOSE,12/01/2022,,64850,66916,63964,66916,928600,122503140000
MWG,HOSE,13/01/2022,,67162,67162,64948,66670,925000,124844600000
MWG,HOSE,14/01/2022,,66424,66424,65539,65932,468400,62887890000
MWG,HOSE,17/01/2022,,65440,65883,63964,63964,817400,108054880000
MWG,HOSE,18/01/2022,,63472,64948,63275,64013,816200,106205890000
MWG,HOSE,19/01/2022,,64062,65932,63964,65686,954800,126072020000
MWG,HOSE,20/01/2022,,65440,65932,64997,65932,896900,119411740000
MWG,HOSE,21/01/2022,,65932,65932,64604,65539,655100,86812489999.9997
MWG,HOSE,24/01/2022,,65046,65539,63915,63915,867600,113307530000
MWG,HOSE,25/01/2022,,63866,64456,62783,64456,802500,103601530000
MWG,HOSE,26/01/2022,,64456,64899,63472,64899,954300,124526090000
MWG,HOSE,27/01/2022,,64407,65096,63570,64702,530600,69391670000
MWG,HOSE,28/01/2022,,64604,65194,63816,65194,716300,94074680000.0001
MWG,HOSE,07/02/2022,,65440,66769,65440,65883,932400,125189780000
MWG,HOSE,08/02/2022,,65883,67310,65883,67064,1450000,196493220000.0010
MWG,HOSE,09/02/2022,,67064,67654,66916,67408,1207000,164993980000
MWG,HOSE,10/02/2022,,67408,67507,66178,67064,902700,122705900000
MWG,HOSE,11/02/2022,,66424,66916,66424,66572,541500,73297859999.9999
MWG,HOSE,14/02/2022,,65883,66424,64948,64948,957300,127560050000
MWG,HOSE,15/02/2022,,65292,65883,64702,65588,572400,76125400000.0001
MWG,HOSE,16/02/2022,,66031,66031,64751,65391,562000,74466750000.0001
MWG,HOSE,17/02/2022,,64948,66178,64899,66178,1031400,137290629999.9990
MWG,HOSE,18/02/2022,,64997,65932,64997,65932,467800,62189720000
MWG,HOSE,21/02/2022,,65194,66375,65194,65883,612100,81932540000
